epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,473.641,0.41402,0.40336,0.86574,0.77167,0.97658,0.97296,0.76213,1.30373,1.16125,1.24707,2.82082e-05,2.82082e-05,2.82082e-05
40,485.084,0.4848,0.36853,0.96703,0.77167,0.97658,0.97296,0.76213,1.30373,1.16125,1.24707,2.84911e-05,2.84911e-05,2.84911e-05
41,496.487,0.45127,0.28786,0.93975,0.77556,0.80548,0.9729,0.74081,1.29625,1.2379,1.2455,2.87504e-05,2.87504e-05,2.87504e-05
42,507.669,0.37918,0.36672,0.98846,0.77556,0.80548,0.9729,0.74081,1.29625,1.2379,1.2455,2.89861e-05,2.89861e-05,2.89861e-05
43,519.157,0.66248,0.52492,1.07502,0.69002,0.73333,0.93129,0.69496,1.27519,1.31209,1.2315,2.91983e-05,2.91983e-05,2.91983e-05
44,530.696,0.60665,0.43151,1.1134,0.69002,0.73333,0.93129,0.69496,1.27519,1.31209,1.2315,2.93869e-05,2.93869e-05,2.93869e-05
45,542.173,0.39058,0.31802,0.89321,0.70023,0.73333,0.93135,0.71422,1.27843,1.38444,1.2351,2.9552e-05,2.9552e-05,2.9552e-05
46,553.83,0.32515,0.29705,0.9488,0.70023,0.73333,0.93135,0.71422,1.27843,1.38444,1.2351,2.96935e-05,2.96935e-05,2.96935e-05
47,565.224,0.62084,0.90575,1.11873,0.715,0.73333,0.91195,0.70645,1.32592,1.44432,1.26258,2.98114e-05,2.98114e-05,2.98114e-05
48,576.661,0.53856,0.68467,1.04424,0.715,0.73333,0.91195,0.70645,1.32592,1.44432,1.26258,2.99058e-05,2.99058e-05,2.99058e-05
49,588.18,0.56004,0.44676,1.16896,0.76317,0.67723,0.92159,0.71874,1.32859,1.49907,1.26209,2.99766e-05,2.99766e-05,2.99766e-05
